person_id,id,name,character,role;
128931,tm82253,Claire Du Brey,Mrs. Talburt - Perfume Customer (uncredited),ACTOR;
25663,tm82253,Pat Flaherty,Salvage Foreman (uncredited),ACTOR;
39453,tm82253,Jackie Jackson,A Boy (uncredited),ACTOR;
21359,tm82253,William H. O'Brien,Nightclub Waiter (uncredited),ACTOR;
22474,tm82253,Bert Stevens,Man at Airport/Dinner Guest (uncredited),ACTOR;
1479923,tm82253,Marion Gray,,ACTOR;
13717,tm82253,William Wyler,,DIRECTOR;
25018,tm83884,Cary Grant,Walter Burns,ACTOR;
28500,tm83884,Rosalind Russell,Hildy Johnson,ACTOR;
12463,tm83884,Ralph Bellamy,Bruce Baldwin,ACTOR;
28501,tm83884,Gene Lockhart,Sheriff Hartwell,ACTOR;
28506,tm83884,Helen Mack,Mollie Malloy,ACTOR;
27185,tm83884,Porter Hall,Murphy,ACTOR;
28510,tm83884,Ernest Truex,Bensinger,ACTOR;
13325,tm83884,Cliff Edwards,Endicott,ACTOR;
28502,tm83884,Clarence Kolb,Mayor,ACTOR;
20167,tm83884,Roscoe Karns,McCue,ACTOR;
28503,tm83884,Frank Jenks,Wilson,ACTOR;
23834,tm83884,Regis Toomey,Sanders,ACTOR;
28504,tm83884,Abner Biberman,Louie,ACTOR;
28505,tm83884,Frank Orth,Duffy,ACTOR;
14710,tm83884,John Qualen,Earl Williams,ACTOR;
28507,tm83884,Alma Kruger,Mrs. Baldwin,ACTOR;
6137,tm83884,Billy Gilbert,Joe Pettibone,ACTOR;
28508,tm83884,Pat West,Warden Cooley,ACTOR;
28509,tm83884,Edwin Maxwell,Dr. Egelhoffer,ACTOR;
13331,tm83884,Irving Bacon,Gus (uncredited),ACTOR;
27216,tm83884,Wade Boteler,Mike (uncredited),ACTOR;
27217,tm83884,Harry C. Bradley,Insurance Doctor (uncredited),ACTOR;
28511,tm83884,Wheaton Chambers,Elevator Passenger (uncredited),ACTOR;
27234,tm83884,Edmund Cobb,Cop (uncredited),ACTOR;
27196,tm83884,Ann Doran,Newspaper Office Worker (uncredited),ACTOR;
28512,tm83884,Ralph Dunn,Plainclothesman (uncredited),ACTOR;
28513,tm83884,Earl Dwire,Pete Davis (uncredited),ACTOR;
25663,tm83884,Pat Flaherty,Frank the Policeman (uncredited),ACTOR;
27262,tm83884,Jack Gardner,Elevator Passenger (uncredited),ACTOR;
28514,tm83884,Eddie Hart,Carl the Plainclothesman (uncredited),ACTOR;
28515,tm83884,Marion Martin,Evangeline (uncredited),ACTOR;
22485,tm83884,Frank McLure,Newsman (uncredited),ACTOR;
27306,tm83884,James Millican,Tim (uncredited),ACTOR;
27310,tm83884,Gene Morgan,Gene (uncredited),ACTOR;
27191,tm83884,Delmar Watson,Skinny (uncredited),ACTOR;
23839,tm83884,Howard Hawks,,DIRECTOR;
14701,tm56584,Humphrey Bogart,Dixon 'Dix' Steele,ACTOR;
39498,tm56584,Gloria Grahame,Laurel Gray,ACTOR;
57463,tm56584,Frank Lovejoy,Det. Sgt. Brub Nicolai,ACTOR;
57464,tm56584,Carl Benton Reid,Capt. Lochner,ACTOR;
57465,tm56584,Art Smith,Agent Mel Lippman,ACTOR;
57466,tm56584,Jeff Donnell,Sylvia Nicolai,ACTOR;
57467,tm56584,Martha Stewart,Mildred Atkinson,ACTOR;
29629,tm56584,Robert Warwick,Charlie Waterman,ACTOR;
57468,tm56584,Morris Ankrum,Lloyd Barnes,ACTOR;
57469,tm56584,William Ching,Ted Barton,ACTOR;
57470,tm56584,Steven Geray,Paul the Headwaiter,ACTOR;
57471,tm56584,Hadda Brooks,Nightclub Singer,ACTOR;
153264,tm56584,Ruth Gillette,Martha the Masseuse (uncredited),ACTOR;
541599,tm56584,Michael Romanoff,Prince Romanoff (uncredited),ACTOR;
137623,tm56584,Ruth Warren,Effie the Cleaning Lady (uncredited),ACTOR;
49085,tm56584,Harold Miller,Nightclub Patron,ACTOR;
29571,tm56584,James Arness,Young Detective,ACTOR;
132902,tm56584,June Vincent,Actress In Convertible,ACTOR;
14166,tm56584,Bess Flowers,Restaurant Patron,ACTOR;
35387,tm56584,Nicholas Ray,,DIRECTOR;
25654,tm160494,Claire Trevor,Dallas,ACTOR;
25629,tm160494,John Wayne,The Ringo Kid,ACTOR;
11109,tm160494,Andy Devine,Buck,ACTOR;
32170,tm160494,John Carradine,Hatfield,ACTOR;
13301,tm160494,Thomas Mitchell,Doc Josiah Boone,ACTOR;
71547,tm160494,Louise Platt,Lucy Mallory,ACTOR;
42491,tm160494,George Bancroft,Marshal Curly Wilcox,ACTOR;
45535,tm160494,Donald Meek,Samuel Peacock,ACTOR;
71548,tm160494,Berton Churchill,Ellsworth H. Gatewood,ACTOR;
71549,tm160494,Tim Holt,Lt. Blanchard,ACTOR;
13423,tm160494,Tom Tyler,Luke Plummer,ACTOR;
71550,tm160494,Chief John Big Tree,Indian Scout (uncredited),ACTOR;
13327,tm160494,Yakima Canutt,Cavalry Scout (uncredited),ACTOR;
22006,tm160494,Francis Ford,Billy Pickett (uncredited),ACTOR;
27573,tm160494,William Hopper,Sergeant (uncredited),ACTOR;
71552,tm160494,Chris-Pin Martin,Chris (uncredited),ACTOR;
71551,tm160494,Paul McVey,Pony Express Agent (uncredited),ACTOR;
41718,tm160494,Jack Pennick,Bartender in Tonto (uncredited),ACTOR;
27340,tm160494,Harry Tenbrook,Telegraph Operator (uncredited),ACTOR;
71554,tm160494,Whitehorse,Indian Chief (uncredited),ACTOR;
38996,tm160494,Hank Worden,Cavalryman Extra (uncredited),ACTOR;
58276,tm160494,Dorothy Appleby,Girl in Saloon (uncredited),ACTOR;
22001,tm160494,Ted Billings,Bit Part (uncredited),ACTOR;
71555,tm160494,Wiggie Blowne,Bit Part (uncredited),ACTOR;
15265,tm160494,Danny Borzage,(uncredited),ACTOR;
71556,tm160494,Ed Brady,Lordsburg Saloon Owner (uncredited),ACTOR;
71557,tm160494,Fritzi Brunette,Bit Part (uncredited),ACTOR;
71558,tm160494,Nora Cecil,Boone's Landlady (uncredited),ACTOR;
28655,tm160494,Steve Clemente,Bit (uncredited),ACTOR;
71559,tm160494,Bill Cody,Rancher (uncredited),ACTOR;
22003,tm160494,Jack Curtis,Bartender (uncredited),ACTOR;
71560,tm160494,Marga Ann Deighton,Mrs. Pickett (uncredited),ACTOR;
71561,tm160494,Patricia Doyle,Bit Part (uncredited),ACTOR;
71562,tm160494,Tex Driscoll,Bit Part (uncredited),ACTOR;
71563,tm160494,Johnny Eckert,Small Role (uncredited),ACTOR;
22477,tm160494,Franklyn Farnum,Deputy Frank (uncredited),ACTOR;
57389,tm160494,Brenda Fowler,Mrs. Gatewood (uncredited),ACTOR;
57390,tm160494,Helen Gibson,Girl in Saloon (uncredited),ACTOR;
27575,tm160494,Robert Homans,Ed the Editor (uncredited),ACTOR;
13391,tm160494,Si Jenks,Bartender (uncredited),ACTOR;
71564,tm160494,Cornelius Keefe,Capt. Whitney (uncredited),ACTOR;
71565,tm160494,Florence Lake,Nancy Whitney (uncredited),ACTOR;
71566,tm160494,Al Lee,Small Role (uncredited),ACTOR;
71567,tm160494,Duke R. Lee,Lordsburg Sheriff (uncredited),ACTOR;
71568,tm160494,Theodore Lorch,Lordsburg Express Agent (uncredited),ACTOR;
69971,tm160494,Jim Mason,Tonto Express Agent Jim (uncredited),ACTOR;
41712,tm160494,Louis Mason,Tonto Sheriff (uncredited),ACTOR;
62993,tm160494,Merrill McCormick,Ogler (uncredited),ACTOR;
71569,tm160494,J.P. McGowan,(uncredited),ACTOR;
41713,tm160494,Walter McGrail,Capt. Sickel (uncredited),ACTOR;
71570,tm160494,Jack Mohr,Small Role (uncredited),ACTOR;
71571,tm160494,Kent Odell,Billy Pickett Jr. (uncredited),ACTOR;
71572,tm160494,Artie Ortego,Lordsburg Bar Patron (uncredited),ACTOR;
71573,tm160494,Vester Pegg,Hank Plummer (uncredited),ACTOR;
71574,tm160494,Chris Phillips,Small Role (uncredited),ACTOR;
71575,tm160494,Joe Rickson,Ike Plummer (uncredited),ACTOR;
71576,tm160494,Buddy Roosevelt,Rancher (uncredited),ACTOR;
71577,tm160494,Mickey Simpson,(uncredited),ACTOR;
71578,tm160494,Chuck Stubbs,(uncredited),ACTOR;
71579,tm160494,Leonard Trainor,Townsman (uncredited),ACTOR;
71580,tm160494,Mary Kathleen Walker,Lucy's Infant (uncredited),ACTOR;
71581,tm160494,Bryant Washburn,Capt. Simmons (uncredited),ACTOR;
573361,tm160494,Elvira Ríos,Yakima (uncredited),ACTOR;
25637,tm160494,John Ford,,DIRECTOR;
25020,tm87233,James Stewart,George Bailey,ACTOR;
26190,tm87233,Donna Reed,Mary Hatch,ACTOR;
25653,tm87233,Lionel Barrymore,Mr. Potter,ACTOR;
13301,tm87233,Thomas Mitchell,Uncle Billy,ACTOR;
34171,tm87233,Henry Travers,Clarence,ACTOR;
27179,tm87233,Beulah Bondi,Mrs. Bailey,ACTOR;
13381,tm87233,Frank Faylen,Ernie,ACTOR;
13323,tm87233,Ward Bond,Bert,ACTOR;
39498,tm87233,Gloria Grahame,Violet,ACTOR;
27178,tm87233,H.B. Warner,Mr. Gower,ACTOR;
99223,tm87233,Frank Albertson,Sam Wainwright,ACTOR;
58067,tm87233,Todd Karns,Harry Bailey,ACTOR;
47762,tm87233,Samuel S. Hinds,Pa Bailey,ACTOR;
133886,tm87233,Mary Treen,Cousin Tilly,ACTOR;
133887,tm87233,Virginia Patton,Ruth Dakin,ACTOR;
108232,tm87233,Charles Williams,Cousin Eustace,ACTOR;
34181,tm87233,Sarah Edwards,Mrs. Hatch,ACTOR;
14743,tm87233,William Edmunds,Mr. Martini,ACTOR;
106286,tm87233,Lillian Randolph,Annie,ACTOR;
133888,tm87233,Argentina Brunetti,Mrs. Martini,ACTOR;
41682,tm87233,Robert J. Anderson,Little George,ACTOR;
133889,tm87233,Ronnie Ralph,Little Sam,ACTOR;
133890,tm87233,Jean Gale,Little Mary,ACTOR;
132909,tm87233,Jeanine Ann Roose,Little Violet,ACTOR;
132910,tm87233,Danny Mummert,Little Marty Hatch,ACTOR;
50379,tm87233,Georgie Nokes,Little Harry Bailey,ACTOR;
57481,tm87233,Sheldon Leonard,Nick,ACTOR;
28727,tm87233,Frank Hagney,Potter's Bodyguard,ACTOR;
132995,tm87233,Ray Walker,Joe (Luggage Shop),ACTOR;
27187,tm87233,Charles Lane,Real Estate Salesman,ACTOR;
31160,tm87233,Edward Keane,Tom (Bldg. & Loan),ACTOR;
132911,tm87233,Carol Coombs,The Bailey Child - Janie,ACTOR;
132912,tm87233,Karolyn Grimes,The Bailey Child - Zuzu,ACTOR;
27195,tm87233,Larry Simms,The Bailey Child - Pete,ACTOR;
60257,tm87233,Jimmy Hawkins,The Bailey Child - Tommy,ACTOR;
132914,tm87233,Jean Acker,Townswoman (uncredited),ACTOR;
69183,tm87233,Ernie Adams,Ed (uncredited),ACTOR;
45692,tm87233,Monya Andre,Elderly Woman (uncredited),ACTOR;
27206,tm87233,Stanley Andrews,Mr. Welch (uncredited),ACTOR;
27209,tm87233,Sam Ash,Nervous Banker (uncredited),ACTOR;
133891,tm87233,Jack Bailey,One of Vi's Suitors (uncredited),ACTOR;
100203,tm87233,Louise Bates,Building & Loan Depositor (uncredited),ACTOR;
1579025,tm87233,Beth Belden,Young Girl (uncredited),ACTOR;
27214,tm87233,Brooks Benedict,Military Officer in Montage (uncredited),ACTOR;
47779,tm87233,Joseph E. Bernard,Townsman (uncredited),ACTOR;
27220,tm87233,Al Bridge,Sheriff (uncredited),ACTOR;
133892,tm87233,Buz Buckley,Young Boy (uncredited),ACTOR;
98666,tm87233,Marian Carr,Jane Wainwright (uncredited),ACTOR;
6134,tm87233,Adriana Caselotti,Singer at Martini's (uncredited),ACTOR;
93473,tm87233,Lane Chandler,Policeman (uncredited),ACTOR;
132913,tm87233,Michael Chapin,Young George's Friend (uncredited),ACTOR;
62985,tm87233,Tom Chatterton,Townsman (uncredited),ACTOR;
100212,tm87233,Jack Cheatham,Cop Arresting Violet (uncredited),ACTOR;
108841,tm87233,Harry Cheshire,Dr. Campbell (uncredited),ACTOR;
36168,tm87233,Edward Clark,Building & Loan Board Member (uncredited),ACTOR;
32290,tm87233,Tom Coleman,Building & Loan Customer (uncredited),ACTOR;
1060,tm87233,Ellen Corby,Ms. Davis (uncredited),ACTOR;
1059535,tm87233,Bryn Davis,Elderly Woman (uncredited),ACTOR;
27244,tm87233,Lew Davis,High School Teacher at Poolside (uncredited),ACTOR;
137512,tm87233,Harry Denny,(uncredited),ACTOR;
58335,tm87233,Helen Dickson,Woman at Graduation Dance (uncredited),ACTOR;
27188,tm87233,Dick Elliott,Man on Porch (uncredited),ACTOR;
95865,tm87233,Tom Fadden,Tollhouse Keeper (uncredited),ACTOR;
137513,tm87233,Frank Fenton,Violet's Boyfriend (uncredited),ACTOR;
27258,tm87233,Eddie Fetherston,Horace (uncredited),ACTOR;
137455,tm87233,Sam Flint,Relieved Banker in Potter's Office (uncredited),ACTOR;
133893,tm87233,Lee Frederick,(uncredited),ACTOR;
49075,tm87233,Dick Gordon,Photographer with Sheriff (uncredited),ACTOR;
79658,tm87233,Jack Gordon,Bar Patron (uncredited),ACTOR;
22487,tm87233,Herschel Graham,Townsman (uncredited),ACTOR;
63894,tm87233,Joseph Granby,Elderly Man (voice) (uncredited),ACTOR;
45075,tm87233,Charles Halton,Carter (uncredited),ACTOR;
579476,tm87233,Carl Eric Hansen,(uncredited),ACTOR;
41679,tm87233,Herbert Heywood,Building & Loan Depositor (uncredited),ACTOR;
133894,tm87233,Harry Holman,Mr. Partridge (uncredited),ACTOR;
22469,tm87233,Art Howard,Building & Loan Board Member (uncredited),ACTOR;
133895,tm87233,Bert Howard,Building & Loan Board Member (uncredited),ACTOR;
14756,tm87233,Arthur Stuart Hull,Mr. Randall (uncredited),ACTOR;
55109,tm87233,John Indrisano,Man in Fantasy (uncredited),ACTOR;
27280,tm87233,Eddie Kane,Building & Loan Depositor (uncredited),ACTOR;
133896,tm87233,Carl Kent,Townsman (uncredited),ACTOR;
20176,tm87233,Milton Kibbee,Building & Loan Board Member (uncredited),ACTOR;
36165,tm87233,Effie Laird,Townswoman (uncredited),ACTOR;
71393,tm87233,Mike Lally,Building & Loan Customer (uncredited),ACTOR;
133897,tm87233,Harold Landon,Marty Hatch (uncredited),ACTOR;
133898,tm87233,Meade 'Lux' Lewis,Pianist in Nick's Place (uncredited),ACTOR;
133899,tm87233,Jack Lomas,Bar Patron (uncredited),ACTOR;
58854,tm87233,J. Farrell MacDonald,Man Whose Grandfather Planted Tree (uncredited),ACTOR;
22472,tm87233,Wilbur Mack,Building & Loan Customer (uncredited),ACTOR;
133900,tm87233,Charles Meakin,Elderly Man (uncredited),ACTOR;
1579092,tm87233,Priscilla Montgomery,Student in Gym (uncredited),ACTOR;
27201,tm87233,Bert Moorhouse,Man with Sheriff (uncredited),ACTOR;
651274,tm87233,Evelyn Moriarty,Bar Patron (uncredited),ACTOR;
41705,tm87233,Philip Morris,Building & Loan Customer (uncredited),ACTOR;
79588,tm87233,George Noisom,School Dancer (uncredited),ACTOR;
133901,tm87233,Bob O'Connor,Bar Patron (uncredited),ACTOR;
27315,tm87233,Frank O'Connor,Military Officer in Montage (uncredited),ACTOR;
1579136,tm87233,Lynn O'Leary-Jameson,Infant Janie Bailey (uncredited),ACTOR;
6144,tm87233,Moroni Olsen,Senior Angel (voice) (uncredited),ACTOR;
105983,tm87233,Garry Owen,Bill-Poster (uncredited),ACTOR;
113387,tm87233,Netta Packer,Elderly Woman (uncredited),ACTOR;
74817,tm87233,Franklin Parker,Photographer / Reporter (uncredited),ACTOR;
13410,tm87233,Suzanne Ridgeway,Nick's Waitress (uncredited),ACTOR;
118672,tm87233,Mark Roberts,Mickey (uncredited),ACTOR;
45710,tm87233,Constantine Romanoff,Bar Patron (uncredited),ACTOR;
47812,tm87233,Cy Schindell,Nick's Bouncer (uncredited),ACTOR;
57721,tm87233,Almira Sessions,Potter's Secretary (uncredited),ACTOR;
132915,tm87233,Cedric Stevens,Townsman (uncredited),ACTOR;
57861,tm87233,Brick Sullivan,Man in Fantasy (uncredited),ACTOR;
27336,tm87233,Charles Sullivan,Nick's Bartender (uncredited),ACTOR;
36507,tm87233,Carl Switzer,Freddie Othello (uncredited),ACTOR;
36186,tm87233,Max Wagner,Cashier / Nick's Assistant Bouncer (uncredited),ACTOR;
47833,tm87233,Larry Wheat,Building & Loan Board Member (uncredited),ACTOR;
20172,tm87233,Charles C. Wilson,Charlie (uncredited),ACTOR;
20177,tm87233,Frank Capra,,DIRECTOR;
129611,tm19424,Tom Neal,Al Roberts,ACTOR;
129610,tm19424,Ann Savage,Vera,ACTOR;
129612,tm19424,Claudia Drake,Sue Harvey,ACTOR;
72430,tm19424,Edmund MacDonald,Charles Haskell Jr.,ACTOR;
26196,tm19424,Tim Ryan,Diner Owner,ACTOR;
57722,tm19424,Esther Howard,Holly,ACTOR;
129614,tm19424,Pat Gleason,Joe,ACTOR;
102596,tm19424,Edgar G. Ulmer,,DIRECTOR;
53491,tm116781,William Powell,Godfrey,ACTOR;
45070,tm116781,Carole Lombard,Irene Bullock,ACTOR;
127171,tm116781,Alice Brady,Angelica Bullock,ACTOR;
107577,tm116781,Gail Patrick,Cornelia Bullock,ACTOR;
27180,tm116781,Eugene Pallette,Alexander Bullock,ACTOR;
127172,tm116781,Jean Dixon,Molly,ACTOR;
36595,tm116781,Alan Mowbray,Tommy Gray,ACTOR;
47760,tm116781,Mischa Auer,Carlo,ACTOR;
25663,tm116781,Pat Flaherty,Mike Flaherty,ACTOR;
127173,tm116781,Robert Light,Faithful George,ACTOR;
14166,tm116781,Bess Flowers,Mrs. Merriweather (uncredited),ACTOR;
27201,tm116781,Bert Moorhouse,Card Playing Party Guest (uncredited),ACTOR;
57717,tm116781,Franklin Pangborn,Guthrie (uncredited),ACTOR;
132394,tm116781,Grady Sutton,Charlie Van Rumple (uncredited),ACTOR;
92015,tm116781,Jane Wyman,Socialite (uncredited),ACTOR;
69183,tm116781,Ernie Adams,Forgotten Man (uncredited),ACTOR;
571714,tm116781,Jimmy Aye,,ACTOR;
33011,tm116781,James Carlisle,,ACTOR;
83567,tm116781,Jack Chefe,,ACTOR;
200063,tm116781,Phyllis Crane,,ACTOR;
27258,tm116781,Eddie Fetherston,,ACTOR;
154427,tm116781,Grace Field,,ACTOR;
28656,tm116781,James Flavin,Detective #2 (uncredited),ACTOR;
98829,tm116781,Edward Gargan,,ACTOR;
47817,tm116781,Carlton Griffin,,ACTOR;
565190,tm116781,David S. Horsley,,ACTOR;
41672,tm116781,Selmer Jackson,,ACTOR;
27283,tm116781,Richard Kipling,,ACTOR;
153512,tm116781,Andrea Leeds,Socialite at Scavenger Hunt (uncredited),ACTOR;
79581,tm116781,Ethelreda Leopold,Socialite (uncredited),ACTOR;
576630,tm116781,Reginald Mason,,ACTOR;
21787,tm116781,Louis Natheaux,,ACTOR;
153841,tm116781,Bob Perry,,ACTOR;
582007,tm116781,Katherine Perry,,ACTOR;
71901,tm116781,Albert Petit,,ACTOR;
134049,tm116781,Jean Rogers,Socialite (uncredited),ACTOR;
58342,tm116781,Ronald R. Rondell,,ACTOR;
154517,tm116781,Arthur Singley,,ACTOR;
27331,tm116781,Larry Steers,Nightclub Patron (uncredited),ACTOR;
74953,tm116781,Russell Wade,,ACTOR;
153265,tm116781,William Wagner,,ACTOR;
575393,tm116781,Arthur Wanzer,,ACTOR;
153696,tm116781,Harley Wood,,ACTOR;
127174,tm116781,Gregory La Cava,,DIRECTOR;
153696,tm112005,Harley Wood,Burma Roberts aka 'Blondie',ACTOR;
134183,tm112005,Hugh McArthur,Dick Collier,ACTOR;
45697,tm112005,Paul Ellis,Tony Santello,ACTOR;
576674,tm112005,Bill Woods,Detective,ACTOR;
100222,tm112005,Juanita Fletcher,Mrs. Roberts,ACTOR;
47794,tm112005,Gloria Browne,Gloria Stewart - The Child,ACTOR;
45694,tm112005,Symona Boniface,Helen,ACTOR;
33405,tm112005,Hal Taggart,Helen's Husband,ACTOR;
1305735,tm112005,William C. Thompson,Waterfront-Raid Detective (uncredited),ACTOR;
152676,tm112005,Dwain Esper,,DIRECTOR;
28774,tm22806,Lillian Gish,The Woman Who Rocks the Cradle,ACTOR;
41680,tm22806,Mae Marsh,The Dear One (Modern Story),ACTOR;
55726,tm22806,Robert Harron,The Boy (Modern Story),ACTOR;
55727,tm22806,F.A. Turner,The Girl's Father (Modern Story),ACTOR;
55728,tm22806,Sam De Grasse,Arthur Jenkins (Modern Story),ACTOR;
27289,tm22806,Vera Lewis,Mary T. Jenkins (Modern Story),ACTOR;
"55730,tm22806,Lillian Langdon,""Mary, the Mother (Judean Story)"",ACTOR";
55729,tm22806,Olga Grey,Mary Magdalene (Judean Story),ACTOR;
55731,tm22806,Erich von Ritzau,First Pharisee (Judean Story),ACTOR;
55732,tm22806,Bessie Love,The Bride of Cana (Judean Story),ACTOR;
55733,tm22806,Margery Wilson,Brown Eyes (French Story),ACTOR;
27180,tm22806,Eugene Pallette,Prosper Latour (French Story),ACTOR;
55734,tm22806,Spottiswoode Aitken,Brown Eyes' Father (French Story),ACTOR;
55735,tm22806,Ruth Handforth,Brown Eyes' Mother (French Story),ACTOR;
55736,tm22806,Elmer Clifton,The Rhapsode (Babylonian Story),ACTOR;
55738,tm22806,Seena Owen,Princess Beloved (Attarea) (Babylonian Story),ACTOR;
27335,tm22806,Carl Stockdale,King Nabonidus (Babylonian Story),ACTOR;
74193,tm22806,Mary Alden,Uplifter,ACTOR;
586035,tm22806,Pearl Elmore,Uplifter,ACTOR;
306700,tm22806,Julia Mackley,Uplifter,ACTOR;
74192,tm22806,Miriam Cooper,The Friendless One,ACTOR;
108229,tm22806,Walter Long,The Musketeer of the Slums / Babylonian Warrior,ACTOR;
24733,tm22806,Tom Wilson,The Kindly Policeman,ACTOR;
74194,tm22806,Ralph Lewis,The Governor,ACTOR;
21781,tm22806,Lloyd Ingraham,Judge of the Court,ACTOR;
569623,tm22806,John P. McCarthy,Prison Guard,ACTOR;
14726,tm22806,Monte Blue,The Strike Leader,ACTOR;
182731,tm22806,Marguerite Marsh,Debutante,ACTOR;
579874,tm22806,Edward Dillon,Crook,ACTOR;
156618,tm22806,Billy Quirk,Bartender,ACTOR;
74200,tm22806,Howard Gaye,Jesus Christ / Cardinal de Lorraine,ACTOR;
586733,tm22806,William H. Brown,Father of the Bride of Cana / Warden,ACTOR;
578973,tm22806,George Walsh,The Bridegroom of Cana,ACTOR;
42890,tm22806,W.S. Van Dyke,Cana Wedding Guest,ACTOR;
575639,tm22806,Allan Sears,The Mercenary,ACTOR;
586962,tm22806,Frank Bennett,Charles IX,ACTOR;
74199,tm22806,Maxfield Stanley,Henri III,ACTOR;
69186,tm22806,Josephine Crowell,Catherine de Médici,ACTOR;
156615,tm22806,Constance  Talmadge,Marguerite de Navarre / The Mountain Girl,ACTOR;
154008,tm22806,W.E. Lawrence,Henri de Navarre,ACTOR;
74195,tm22806,Joseph Henabery,L'amiral de Coligny / Defendant,ACTOR;
573569,tm22806,Chandler House,Page,ACTOR;
55737,tm22806,Alfred Paget,Prince Belshazzar,ACTOR;
51746,tm22806,Tully Marshall,High Priest of Bel / Friend of the Musketeer,ACTOR;
584887,tm22806,Dore Davidson,The Friendly Neighbor,ACTOR;
138547,tm22806,Taylor N. Duncan,Captain of the Gateg / Bodyguard of the Princess Beloved,ACTOR;
156642,tm22806,Owen Moore,Extra (uncredited),ACTOR;
138182,tm22806,Frank Borzage,Extra (uncredited),ACTOR;
152749,tm22806,Karl Brown,Extra (uncredited),ACTOR;
24710,tm22806,Frank Campeau,Extra (uncredited),ACTOR;
106661,tm22806,Constance Collier,Extra (uncredited),ACTOR;
51911,tm22806,Donald Crisp,Extra (uncredited),ACTOR;
134050,tm22806,Nigel De Brulier,Extra (uncredited),ACTOR;
576342,tm22806,Clarence Geldart,Extra (uncredited),ACTOR;
63069,tm22806,Dell Henderson,Extra (uncredited),ACTOR;
47773,tm22806,Russell Hicks,Extra (uncredited),ACTOR;
584986,tm22806,DeWolf Hopper Sr.,Extra (uncredited),ACTOR;
21771,tm22806,Wilfred Lucas,Extra (uncredited),ACTOR;
56588,tm22806,Francis McDonald,Extra (uncredited),ACTOR;
71573,tm22806,Vester Pegg,Extra (uncredited),ACTOR;
206026,tm22806,Herbert Sutch,Extra (uncredited),ACTOR;
238109,tm22806,Herbert Beerbohm Tree,Extra (uncredited),ACTOR;
